match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2022,reserve_grade,regular,5,Round 5,2022-05-07 03:00:00,Ryde Saints United FC,North Epping Rangers FC,2,0,complete
,2022,reserve_grade,regular,5,Round 5,2022-05-07 03:00:00,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,1,2,complete
,2022,reserve_grade,regular,5,Round 5,2022-05-07 03:00:00,West Ryde Rovers FC,Hills Hawks FC,3,0,complete
,2022,first_grade,regular,5,Round 5,2022-05-07 05:00:00,Epping Eastwood FC,Pennant Hills FC,1,0,complete
,2022,first_grade,regular,5,Round 5,2022-05-07 05:00:00,Normanhurst Eagles FC,Eastwood St Andrews FC,0,1,complete
,2022,first_grade,regular,5,Round 5,2022-05-07 05:00:00,Ryde Saints United FC,North Epping Rangers FC,2,2,complete
,2022,first_grade,regular,5,Round 5,2022-05-07 05:00:00,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,0,2,complete
,2022,first_grade,regular,5,Round 5,2022-05-07 05:00:00,West Ryde Rovers FC,Hills Hawks FC,4,0,complete
,2022,first_grade,regular,6,Round 6,2022-05-14 05:00:00,Eastwood St Andrews FC,Macquarie Dragons FC,3,2,complete
,2022,first_grade,regular,6,Round 6,2022-05-14 05:00:00,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,2,0,complete
,2022,first_grade,regular,6,Round 6,2022-05-14 07:00:00,North Epping Rangers FC,Pennant Hills FC,1,1,complete
,2022,first_grade,regular,6,Round 6,2022-05-14 07:00:00,Hills Hawks FC,Ryde Saints United FC,3,1,complete
,2022,first_grade,regular,6,Round 6,2022-05-14 09:00:00,Normanhurst Eagles FC,Epping Eastwood FC,2,2,complete
,2022,reserve_grade,regular,6,Round 6,2022-07-02 03:00:00,North Epping Rangers FC,Pennant Hills FC,3,0,complete
,2022,reserve_grade,regular,6,Round 6,2022-07-02 03:00:00,Eastwood St Andrews FC,Macquarie Dragons FC,0,4,complete
,2022,reserve_grade,regular,6,Round 6,2022-07-19 09:30:00,Normanhurst Eagles FC,Epping Eastwood FC,2,0,complete
,2022,reserve_grade,regular,6,Round 6,2022-07-20 09:30:00,Hills Hawks FC,Ryde Saints United FC,3,0,complete
,2022,reserve_grade,regular,6,Round 6,2022-08-04 09:30:00,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,3,0,complete
,2022,reserve_grade,regular,7,Round 7,2022-05-21 03:00:00,Epping Eastwood FC,North Epping Rangers FC,2,0,complete
,2022,reserve_grade,regular,7,Round 7,2022-05-21 03:00:00,Macquarie Dragons FC,Normanhurst Eagles FC,1,1,complete
,2022,reserve_grade,regular,7,Round 7,2022-05-21 03:00:00,Pennant Hills FC,Hills Hawks FC,1,0,complete
,2022,reserve_grade,regular,7,Round 7,2022-05-21 03:00:00,West Ryde Rovers FC,Eastwood St Andrews FC,3,5,complete
,2022,reserve_grade,regular,7,Round 7,2022-05-21 03:00:00,Ryde Saints United FC,West Pennant Hills Cherrybrook FC,0,4,complete
,2022,first_grade,regular,7,Round 7,2022-05-21 05:00:00,Epping Eastwood FC,North Epping Rangers FC,3,1,complete
,2022,first_grade,regular,7,Round 7,2022-05-21 05:00:00,Macquarie Dragons FC,Normanhurst Eagles FC,5,3,complete
,2022,first_grade,regular,7,Round 7,2022-05-21 05:00:00,Pennant Hills FC,Hills Hawks FC,1,2,complete
,2022,first_grade,regular,7,Round 7,2022-05-21 05:00:00,West Ryde Rovers FC,Eastwood St Andrews FC,4,2,complete
,2022,first_grade,regular,7,Round 7,2022-05-21 05:00:00,Ryde Saints United FC,West Pennant Hills Cherrybrook FC,3,3,complete
,2022,reserve_grade,regular,8,Round 8,2022-08-06 03:00:00,Macquarie Dragons FC,Epping Eastwood FC,1,2,complete
,2022,reserve_grade,regular,8,Round 8,2022-08-06 03:00:00,Hills Hawks FC,North Epping Rangers FC,5,1,complete
,2022,reserve_grade,regular,8,Round 8,2022-08-06 03:00:00,Normanhurst Eagles FC,West Ryde Rovers FC,2,3,complete
,2022,reserve_grade,regular,8,Round 8,2022-08-06 03:00:00,West Pennant Hills Cherrybrook FC,Pennant Hills FC,4,0,complete
,2022,reserve_grade,regular,8,Round 8,2022-08-06 03:00:00,Eastwood St Andrews FC,Ryde Saints United FC,4,1,complete
,2022,first_grade,regular,8,Round 8,2022-08-06 05:00:00,Macquarie Dragons FC,Epping Eastwood FC,1,1,complete
,2022,first_grade,regular,8,Round 8,2022-08-06 05:00:00,Hills Hawks FC,North Epping Rangers FC,1,0,complete
,2022,first_grade,regular,8,Round 8,2022-08-06 05:00:00,Normanhurst Eagles FC,West Ryde Rovers FC,1,4,complete
,2022,first_grade,regular,8,Round 8,2022-08-06 05:00:00,West Pennant Hills Cherrybrook FC,Pennant Hills FC,3,1,complete
