K_FACTOR_INITIAL,K_FACTOR_SETTLED,K_TRANSITION_GAMES,HOME_FIELD_ADVANTAGE,MOV_C1,MOV_C2,PRIOR_REGRESSION_FACTOR,RESET_PLAYED_PER_SEASON,ELO_TO_GOAL_RATIO,XG_ASYMMETRY_FACTOR,XG_BLEND_WEIGHT,MIN_XG,brier_F1,brier_F2,brier_F3,logloss_F1,logloss_F2,logloss_F3,accuracy_F1,accuracy_F2,accuracy_F3,n_F1,n_F2,n_F3,brier_mean,logloss_mean,accuracy_mean
30,35,10,30,0.001,2.0,0.4,False,75,0.85,0.5,0.2,0.5765500189766103,0.6001530591223457,0.4787904902768557,0.9840144682780698,1.0044307174011098,0.8285811092968617,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5394717746996007,0.9165059133489857,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,75,0.85,0.5,0.3,0.5765704315753062,0.6001530591223457,0.4787904902768557,0.9841446718733012,1.0044307174011098,0.8285811092968617,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5394717746996007,0.9165059133489857,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,75,0.85,0.5,0.3,0.5763900607725143,0.5997182552374029,0.4792476319300683,0.9828414431529764,1.003778657679614,0.8292763650186823,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5394829435837356,0.9165275113491481,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,75,0.85,0.5,0.2,0.5763695500121838,0.5997182552374029,0.4792476319300683,0.9827123467859331,1.003778657679614,0.8292763650186823,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5394829435837356,0.9165275113491481,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,75,0.85,0.5,0.2,0.5766262023842363,0.6002171002306889,0.4788177411863519,0.9840192828212432,1.004514354457199,0.8286312180625749,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5395174207085204,0.9165727862598869,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,75,0.85,0.5,0.3,0.5766460807285446,0.6002171002306889,0.4788177411863519,0.9841464990451744,1.004514354457199,0.8286312180625749,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5395174207085204,0.9165727862598869,0.5827041866849691
30,35,15,30,0.002,2.0,0.4,False,75,0.85,0.5,0.2,0.5764540151956923,0.5997888662943037,0.4792801686131655,0.9827494458776019,1.003872434796417,0.8293356924315205,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5395345174537346,0.9166040636139687,0.5827041866849691
30,35,15,30,0.002,2.0,0.4,False,75,0.85,0.5,0.3,0.5764747238976411,0.5997888662943037,0.4792801686131655,0.9828791245059708,1.003872434796417,0.8293356924315205,0.5425531914893617,0.5483870967741935,0.6170212765957447,94,93,94,0.5395345174537346,0.9166040636139687,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,50,0.65,0.5,0.2,0.5776765188069445,0.6026718036363078,0.47685871605994484,0.9910524304097948,1.0089269819471904,0.8257028397609523,0.5425531914893617,0.5376344086021505,0.6276595744680851,94,93,94,0.5397652598481263,0.9173149108540714,0.5826469915351178
30,35,10,30,0.002,2.0,0.4,False,50,0.65,0.5,0.3,0.5777085570105448,0.6026718036363078,0.47685871605994484,0.9912345768127953,1.0089269819471904,0.8257028397609523,0.5425531914893617,0.5376344086021505,0.6276595744680851,94,93,94,0.5397652598481263,0.9173149108540714,0.5826469915351178
30,35,15,30,0.002,2.0,0.4,False,50,0.65,0.5,0.2,0.5777222410211564,0.602712495123583,0.4768601605436282,0.9909483190475225,1.0089669119177591,0.8257093543804835,0.5425531914893617,0.5376344086021505,0.6276595744680851,94,93,94,0.5397863278336056,0.9173381331491213,0.5826469915351178
30,35,15,30,0.002,2.0,0.4,False,50,0.65,0.5,0.3,0.5777611022064638,0.602712495123583,0.4768601605436282,0.9911987131763574,1.0089669119177591,0.8257093543804835,0.5425531914893617,0.5376344086021505,0.6276595744680851,94,93,94,0.5397863278336056,0.9173381331491213,0.5826469915351178
40,35,15,30,0.002,2.0,0.4,False,75,0.85,0.5,0.3,0.5765976486985632,0.6002852794287107,0.47956547351721335,0.9843345943677987,1.0046563544436462,0.8300419208594433,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.539925376472962,0.9173491376515448,0.5827041866849691
