match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,9,Pennant Hills FC,Eastwood St Andrews FC,1471.06,1493.41,0.42103,0.16793,0.41104,2.972,2.941,0,0,0
,2022,10,West Ryde Rovers FC,Epping Eastwood FC,1542.54,1506.03,0.61807,0.1413,0.24063,3.936,2.653,2,1,1
,2022,10,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1499.36,1552.51,0.29108,0.1391,0.56982,3.273,4.268,1,3,-1
,2022,10,Ryde Saints United FC,Macquarie Dragons FC,1470.09,1503.37,0.35094,0.15112,0.49794,3.255,3.754,1,3,-1
,2022,10,North Epping Rangers FC,Eastwood St Andrews FC,1465.01,1493.83,0.39383,0.16019,0.44598,3.138,3.307,0,2,-1
,2022,10,Normanhurst Eagles FC,Pennant Hills FC,1496.61,1470.64,0.57296,0.15452,0.27252,3.51,2.543,1,1,0
,2022,11,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1502.24,1558.13,0.29544,0.1479,0.55666,2.961,3.846,1,3,-1
,2022,11,West Ryde Rovers FC,Ryde Saints United FC,1546.34,1464.17,0.76215,0.10541,0.13245,4.632,2.268,5,0,1
,2022,11,Eastwood St Andrews FC,Hills Hawks FC,1499.81,1493.74,0.49688,0.15316,0.34996,3.662,3.169,0,0,0
,2022,11,Macquarie Dragons FC,Pennant Hills FC,1509.29,1471.72,0.62962,0.14267,0.22771,3.803,2.463,2,0,1
,2022,11,Normanhurst Eagles FC,North Epping Rangers FC,1495.53,1459.03,0.61992,0.1397,0.24038,4.008,2.706,0,1,-1
,2022,12,Ryde Saints United FC,Epping Eastwood FC,1458.71,1496.85,0.3387,0.15562,0.50568,3.007,3.558,0,0,0
,2022,12,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1563.52,1499.02,0.73781,0.11373,0.14846,4.423,2.278,5,3,1
,2022,12,Pennant Hills FC,West Ryde Rovers FC,1467.7,1551.8,0.23262,0.14514,0.62224,2.44,3.726,0,3,-1
,2022,12,Normanhurst Eagles FC,Hills Hawks FC,1489.48,1494.53,0.46237,0.15365,0.38398,3.605,3.34,4,3,1
,2022,12,North Epping Rangers FC,Macquarie Dragons FC,1465.08,1513.31,0.3216,0.15084,0.52756,3.062,3.756,0,0,0
,2022,13,Epping Eastwood FC,Eastwood St Andrews FC,1497.02,1495.42,0.5161,0.15958,0.32432,3.396,2.781,0,2,-1
,2022,13,Ryde Saints United FC,Pennant Hills FC,1458.54,1461.52,0.46103,0.16574,0.37324,3.137,2.861,1,2,-1
,2022,13,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,1493.77,1567.13,0.24843,0.13376,0.61781,3.03,4.355,3,1,1
,2022,13,West Ryde Rovers FC,North Epping Rangers FC,1557.98,1465.05,0.78768,0.09956,0.11276,4.58,2.043,3,1,1
,2022,13,Macquarie Dragons FC,Hills Hawks FC,1513.33,1490.23,0.56565,0.14275,0.2916,4.081,3.125,2,1,1
,2022,14,Eastwood St Andrews FC,Normanhurst Eagles FC,1501.61,1499.59,0.50455,0.15534,0.34011,3.57,3.026,1,2,-1
,2022,14,North Epping Rangers FC,Ryde Saints United FC,1461.85,1452.95,0.54176,0.15311,0.30512,3.637,2.856,0,4,-1
,2022,14,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,1561.31,1517.2,0.6469,0.12913,0.22396,4.435,2.905,2,2,0
,2022,14,Hills Hawks FC,West Ryde Rovers FC,1486.37,1561.18,0.29096,0.14225,0.56679,3.139,4.104,4,2,1
,2022,14,Pennant Hills FC,Epping Eastwood FC,1467.1,1490.82,0.41282,0.17042,0.41676,2.869,2.882,2,1,1
