K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,brier,logloss,n
25,20,90,0.7,0.5852553026385027,0.9835610451720453,187
20,40,100,0.3,0.5853877788245989,0.981480303537666,187
25,40,100,0.3,0.5854172302620323,0.9817833142099291,187
30,30,90,0.5,0.5854553975470586,0.983522858875335,187
15,40,65,0.7,0.5855178073727272,0.9878690994599268,187
25,40,75,0.5,0.5855413114352944,0.9855434801469973,187
15,40,100,0.3,0.5855506979668448,0.9814830764302457,187
30,40,100,0.3,0.5856068071887702,0.9823519269755638,187
30,20,90,0.7,0.5857261789235297,0.9847995137982597,187
30,30,75,0.7,0.5857907005251339,0.988400069844116,187
20,40,90,0.3,0.5858249635614972,0.9825346425904435,187
15,40,90,0.3,0.5858665857877003,0.9822521074492562,187
20,40,65,0.7,0.5859694159181814,0.9900540254079738,187
25,40,90,0.3,0.5859966960887698,0.98317569554916,187
30,40,75,0.5,0.5862430138727273,0.9875881886332901,187
30,40,90,0.3,0.5863422811652407,0.9841302367590588,187
15,30,75,0.5,0.5864516430925132,0.9851878625327608,187
15,20,75,0.7,0.5866515397540109,0.986824452541738,187
20,30,75,0.5,0.5866919091721927,0.9863011746556412,187
15,30,65,0.7,0.5867832113903743,0.9899161471667632,187
25,40,65,0.7,0.5867879861770054,0.9930313417085652,187
20,20,100,0.5,0.5869315003598929,0.9839901052304143,187
20,20,75,0.7,0.5869637646411763,0.9881579946142758,187
25,20,100,0.5,0.5870038145053478,0.9843893899498579,187
15,20,100,0.5,0.5870747188080212,0.9839308020856479,187
20,30,100,0.3,0.5871925251160427,0.9838949147648529,187
25,30,75,0.5,0.5872186722534757,0.9879609707057052,187
25,30,100,0.3,0.5872560695513371,0.9842511077334519,187
30,20,100,0.5,0.5872562880973266,0.9850898099034415,187
15,30,100,0.3,0.5873170495652408,0.9838401249402741,187
20,30,65,0.7,0.5873380676967916,0.9922614814219046,187
20,20,90,0.5,0.5873499164385027,0.9852355176081027,187
15,20,90,0.5,0.5873539594796793,0.9848517230492067,187
30,30,100,0.3,0.5874761700764709,0.9848716358600481,187
20,10,100,0.7,0.5875650254363634,0.9854673245970198,187
25,20,90,0.5,0.5875824954427808,0.9860155051341791,187
25,20,75,0.7,0.5875910197855616,0.9901078782282754,187
15,30,90,0.3,0.587607128726738,0.9845997115044612,187
20,30,90,0.3,0.5876109459497324,0.9849488726187057,187
15,40,65,0.5,0.5876674798449197,0.9893768388349938,187
15,40,75,0.3,0.5876732566828878,0.986012349860029,187
25,10,100,0.7,0.5876822009887703,0.9859791875710754,187
15,10,100,0.7,0.5876946011149731,0.9853467593070088,187
25,30,90,0.3,0.5878240445545454,0.9856542042588914,187
30,40,65,0.7,0.5878966758422459,0.9967505184713273,187
20,40,75,0.3,0.5878975239593579,0.987033995080785,187
