season,round,home,away,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,xg_home,xg_away,actual_home_goals,actual_away_goals,outcome
2024,1,Putney Rangers FC,West Pennant Hills Cherrybrook FC,1500,1582.9486854757897,0.22613438105463718,0.17442339336454302,0.5994422255808197,1.7110537337632097,2.7643775366533805,2,2,0
2024,1,Macquarie Dragons FC,Eastwood St Andrews FC,1509.69508255366,1493.3988970156545,0.5265388869044276,0.21201082416845213,0.26145028892712024,2.0698454390126284,1.415075075797859,1,1,0
2024,1,Epping Eastwood FC,North Ryde SC,1502.6118969397626,1500,0.46759955998650493,0.19800913526009145,0.3343913047534036,2.2966799241406175,1.940607093114318,4,3,1
2024,1,Normanhurst Eagles FC,Pennant Hills FC,1509.2423752118934,1484.092001417216,0.5563558340906102,0.21741857737505363,0.2262255885343362,1.9745584580581932,1.1879164924371073,3,1,1
2024,1,West Ryde Rovers FC,St Patrick's FC,1505.2948720477827,1514.8511310417375,0.4496150960090951,0.22431232761722564,0.3260725763736793,1.8442315322582465,1.546436306673303,5,2,1
2024,2,Eastwood St Andrews FC,West Ryde Rovers FC,1494.6562271305995,1516.5964909555328,0.37137617100724263,0.21858573380258192,0.4100380951901755,1.7599743653237803,1.855668156861527,1,2,-1
2024,2,Normanhurst Eagles FC,Epping Eastwood FC,1517.1246632531813,1509.8583193242603,0.4973018473660025,0.22447902350892415,0.27821912912507335,1.8832605276571135,1.3620069845782967,1,4,-1
2024,2,West Pennant Hills Cherrybrook FC,North Ryde SC,1581.5589784876463,1492.7535776155023,0.769471712103666,0.12442338343227761,0.10610490446405646,3.34789566401927,1.2736683244347342,5,2,1
2024,2,Pennant Hills FC,Macquarie Dragons FC,1476.209713375928,1508.437752438715,0.3551806518359203,0.22653219466566443,0.4182871534984153,1.61427667466078,1.765818835316098,4,2,1
2024,2,St Patrick's FC,Putney Rangers FC,1503.5495121339875,1501.3897069881434,0.35313421500251363,0.21547128959295891,0.4313944954045275,1.746347572636953,1.9420244310016515,3,4,-1
2024,3,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1523.0389178217974,1588.7456528327455,0.2340710688868954,0.2017885370818633,0.5641403940312413,1.384382156899753,2.2196538270730435,2,1,1
2024,3,Macquarie Dragons FC,Normanhurst Eagles FC,1498.7740159018565,1503.9440647556441,0.4347909846147091,0.22494239535694568,0.34026662002834523,1.8145823096832054,1.586711667932494,6,5,1
2024,3,North Ryde SC,St Patrick's FC,1485.5669032704031,1494.7478367640279,0.4335334779954304,0.19775417409298834,0.3687123479115812,2.2504509510156328,2.0760084109301866,2,4,-1
2024,3,West Ryde Rovers FC,Pennant Hills FC,1525.5135008022717,1485.8734499127866,0.5916605375053302,0.19645585362561474,0.21188360886905508,2.2783877245364685,1.3111962495845324,3,2,1
2024,3,Putney Rangers FC,Eastwood St Andrews FC,1510.191382358103,1485.7392172838606,0.6277440977028192,0.17265418646877925,0.1996017158284016,2.721668248306865,1.5296393892047087,1,1,0
2024,4,Macquarie Dragons FC,Epping Eastwood FC,1506.8001041424106,1532.515827505633,0.3996847753526062,0.21982521296838936,0.3804900116790044,1.8157267255902232,1.7684183241871558,1,1,0
2024,4,St Patrick's FC,West Pennant Hills Cherrybrook FC,1504.25488208028,1579.2687431489098,0.2141024672484128,0.1964131172411362,0.5894844155104509,1.3255021118180546,2.2831045011554982,2,4,-1
2024,4,Normanhurst Eagles FC,West Ryde Rovers FC,1495.91797651509,1532.296578611032,0.3686844938821929,0.2188609721190561,0.412454533998751,1.7486294058220553,1.8568361812802117,2,2,0
2024,4,Eastwood St Andrews FC,North Ryde SC,1487.1248936960521,1476.059857954151,0.5261268128304077,0.18861575995289742,0.28525742721669484,2.5197448801909017,1.8599023688492688,4,0,1
2024,4,Pennant Hills FC,Putney Rangers FC,1479.0903721040263,1508.8057059459115,0.33944483254861973,0.21343061141682682,0.44712455603455353,1.7273977106211182,1.9981957090486988,2,4,-1
2024,6,Macquarie Dragons FC,Putney Rangers FC,1506.680614955732,1517.9441022413937,0.39287341687020394,0.20643879655310488,0.4006877865766912,1.9996929021502283,2.019996781884731,1,6,-1
2024,6,Normanhurst Eagles FC,North Ryde SC,1496.103859131746,1464.4928445801156,0.6517996429527367,0.1689896249112525,0.17921073213601071,2.7238074936845744,1.4116695058760853,4,3,1
2024,6,West Ryde Rovers FC,Epping Eastwood FC,1532.1106959943759,1532.6353166923118,0.475467904772332,0.2124218356044978,0.3121102596231703,2.0465852502879036,1.6365993078234324,4,1,1
