K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
30,50,100,0.8,0.0005,2.2,False,0.5775676538368983
20,50,100,0.8,0.0005,1.5,False,0.5775719559427807
25,40,75,0.7,0.002,2.2,False,0.577573138486631
20,50,100,0.8,0.0005,1.5,True,0.5775738192540105
25,40,75,0.8,0.0005,3.0,False,0.5775811364224595
30,50,100,0.8,0.002,3.0,True,0.5775923654679145
25,40,75,0.7,0.001,2.2,False,0.5775954448770052
25,50,75,0.7,0.002,1.5,False,0.5775976631973258
30,30,75,0.8,0.0005,2.2,False,0.5776006405283421
30,50,100,0.8,0.001,2.2,False,0.5776058028000001
25,40,75,0.8,0.001,3.0,False,0.5776060555684496
25,40,75,0.7,0.0005,2.2,False,0.57761313787861
20,50,100,0.8,0.0005,2.2,True,0.5776535319080212
25,40,75,0.8,0.002,3.0,False,0.5776593073727275
20,50,100,0.8,0.001,2.2,True,0.5776644066475939
30,40,75,0.8,0.0005,1.5,False,0.577674416874332
30,50,100,0.8,0.002,2.2,False,0.577686299720856
20,40,75,0.8,0.0005,1.5,False,0.5776866031588234
20,50,100,0.8,0.002,2.2,True,0.5776937904727273
30,50,100,0.7,0.002,1.5,False,0.5776952172112301
20,50,75,0.8,0.0005,1.5,True,0.5776988734342244
20,40,75,0.7,0.002,2.2,True,0.577711236698396
30,50,75,0.7,0.0005,3.0,False,0.5777140570684491
30,50,100,0.7,0.001,2.2,True,0.5777211905855616
30,50,100,0.7,0.002,2.2,True,0.5777218064064172
30,50,100,0.7,0.0005,2.2,True,0.5777243582278077
30,50,75,0.7,0.001,3.0,False,0.5777411697283426
30,50,100,0.7,0.001,1.5,False,0.5777588975433153
20,40,75,0.7,0.001,2.2,True,0.5777713414304813
30,50,75,0.8,0.001,1.5,True,0.5777726182454547
25,50,75,0.8,0.0005,1.5,True,0.5777737562994655
30,50,75,0.7,0.002,3.0,False,0.5777998873320854
30,40,100,0.8,0.002,1.5,False,0.5778050439754011
30,50,100,0.7,0.0005,1.5,False,0.5778050856850262
20,40,75,0.7,0.0005,2.2,True,0.5778082736149732
30,30,75,0.8,0.002,3.0,True,0.5778117546042779
30,30,75,0.8,0.001,3.0,True,0.577815562680214
30,30,75,0.8,0.0005,3.0,True,0.5778185737240642
20,50,75,0.7,0.002,1.5,False,0.5778457681481279
30,40,100,0.8,0.001,1.5,False,0.5778721417716578
20,50,75,0.7,0.001,2.2,False,0.5778886491754008
20,50,75,0.7,0.0005,2.2,False,0.5778918298631014
20,50,75,0.7,0.002,2.2,False,0.577897022092513
25,50,75,0.7,0.001,1.5,False,0.5779015428641712
25,30,75,0.8,0.002,2.2,False,0.5779078180288775
30,50,75,0.7,0.001,1.5,False,0.5779237426764707
30,40,100,0.8,0.0005,1.5,False,0.5779242232989308
30,50,100,0.7,0.002,1.5,True,0.5779248701860961
20,40,75,0.7,0.0005,3.0,True,0.5779281451855617
20,40,75,0.7,0.001,3.0,True,0.5779338351171126
25,30,75,0.8,0.001,2.2,False,0.5779344661160427
20,40,75,0.7,0.002,3.0,True,0.5779462110636363
25,30,75,0.8,0.0005,2.2,False,0.577954571918182
30,40,75,0.7,0.0005,3.0,False,0.5779692768171124
30,30,75,0.8,0.002,2.2,True,0.5779870251155081
30,40,75,0.7,0.001,3.0,False,0.5779895419171124
25,50,100,0.8,0.0005,3.0,True,0.5779969720598932
25,50,100,0.8,0.001,3.0,True,0.5780230488326206
30,40,75,0.7,0.002,3.0,False,0.5780315515951873
30,50,75,0.8,0.0005,1.5,True,0.5780327239973266
25,50,100,0.7,0.002,1.5,False,0.5780349585486633
25,50,100,0.7,0.002,1.5,True,0.5780445614262032
25,50,100,0.7,0.0005,2.2,True,0.5780546946566844
25,50,100,0.7,0.001,2.2,True,0.5780588700636361
25,50,75,0.7,0.002,1.5,True,0.5780661494791443
25,50,100,0.7,0.001,1.5,False,0.578066664922995
20,50,75,0.7,0.002,1.5,True,0.5780710715326203
20,40,75,0.8,0.002,1.5,True,0.5780718986657754
25,50,100,0.7,0.002,2.2,True,0.5780721172973263
25,50,100,0.8,0.002,3.0,True,0.5780769891609626
30,30,75,0.8,0.001,2.2,True,0.5780850330684493
25,50,75,0.7,0.0005,1.5,False,0.5780861536898397
30,50,100,0.7,0.001,1.5,True,0.578089887971658
25,40,75,0.8,0.002,1.5,True,0.5780909972743318
25,50,100,0.7,0.0005,1.5,False,0.578096095493583
20,50,75,0.7,0.001,1.5,False,0.5781004972967912
25,40,75,0.7,0.002,1.5,False,0.5781051627631013
30,40,75,0.7,0.002,1.5,False,0.5781171066796792
30,40,100,0.8,0.001,2.2,True,0.5781342688684492
30,40,100,0.8,0.0005,2.2,True,0.5781352044165781
30,50,75,0.7,0.0005,1.5,False,0.5781365016508018
30,40,100,0.8,0.002,2.2,True,0.5781384241112297
30,30,75,0.8,0.0005,2.2,True,0.5781428371048127
25,40,100,0.8,0.002,1.5,False,0.5781445855390369
20,40,75,0.7,0.002,2.2,False,0.5781506155919782
25,30,75,0.8,0.002,2.2,True,0.5781506341486631
20,40,75,0.7,0.001,2.2,False,0.5781561805962567
20,40,75,0.7,0.0005,2.2,False,0.5781640999042783
20,50,75,0.8,0.0005,3.0,False,0.5781666751064171
25,40,100,0.8,0.001,1.5,False,0.5781701384155082
25,50,100,0.8,0.0005,2.2,False,0.5781746658171129
25,50,100,0.7,0.001,1.5,True,0.5781752532673797
25,30,75,0.8,0.0005,3.0,True,0.5781857128288768
25,30,75,0.8,0.001,3.0,True,0.5781866010470589
30,50,100,0.7,0.0005,1.5,True,0.5781890812005345
25,30,75,0.8,0.002,3.0,True,0.5781913996716579
25,40,100,0.8,0.0005,1.5,False,0.5782010394385027
20,50,75,0.8,0.001,3.0,False,0.5782023414422455
25,50,100,0.8,0.001,2.2,False,0.5782186061636362
25,30,75,0.8,0.001,2.2,True,0.5782228880080216
30,50,75,0.7,0.002,1.5,True,0.578228162800535
25,50,100,0.7,0.0005,1.5,True,0.5782571473368985
20,50,75,0.7,0.0005,1.5,False,0.5782582541711232
25,30,75,0.8,0.0005,2.2,True,0.5782666128117646
30,30,75,0.8,0.0005,3.0,False,0.5782722360320857
