season,round,home,away,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,xg_home,xg_away,actual_home_goals,actual_away_goals,outcome
2022,9,Ryde Saints United FC,Normanhurst Eagles FC,1474.0660161916842,1492.7655542864757,0.42980530034351605,0.22206442365170462,0.34813027600477947,1.8449857875354239,1.6458371890998582,2,5,-1
2022,9,Pennant Hills FC,Eastwood St Andrews FC,1462.1374182786249,1483.7323500321434,0.40905685969207023,0.2288933538440695,0.3620497864638602,1.7187978526445158,1.6067888388148401,0,0,0
2022,10,West Ryde Rovers FC,Epping Eastwood FC,1552.0331651401661,1508.656740802318,0.6268998173535573,0.19299684058912553,0.18010334205731718,2.2654545380763804,1.140206220478179,2,1,1
2022,10,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1494.631992551218,1573.4150077357117,0.26591386048486554,0.1848664812929313,0.5492196582222032,1.8091534321265796,2.590966906734761,1,3,-1
2022,10,Ryde Saints United FC,Macquarie Dragons FC,1460.4919581019933,1504.7092266864374,0.33961009494645683,0.20949966245486212,0.450890242598681,1.7826416016251236,2.066796672647402,1,3,-1
2022,10,North Epping Rangers FC,Eastwood St Andrews FC,1453.8525282952207,1484.466295180434,0.3989402348008278,0.21693441443379827,0.38412535076537385,1.8542839995990414,1.8173653580783127,0,2,-1
2022,10,Normanhurst Eagles FC,Pennant Hills FC,1506.3396123761665,1461.4034731303343,0.6325990346273772,0.1984538365487047,0.16894712882391819,2.1532485041056226,1.019185400945297,1,1,0
2022,11,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1502.315049966205,1582.356581717179,0.24284109715381103,0.2041641722047291,0.5529947306414599,1.4064397348895386,2.1880712301219907,1,3,-1
2022,11,West Ryde Rovers FC,Ryde Saints United FC,1558.3748559762792,1450.4688749861039,0.8019077206753591,0.1267963480552786,0.07129593126936232,2.8304298601408293,0.7488298838930251,5,0,1
2022,11,Eastwood St Andrews FC,Hills Hawks FC,1494.8047262617074,1485.6904185697506,0.4847881943276088,0.20462157399699474,0.3105902316753964,2.186266685493009,1.7358265768909091,0,0,0
2022,11,Macquarie Dragons FC,Pennant Hills FC,1514.7323098023269,1463.694523433844,0.6575774760377672,0.18890302580895948,0.15351949815327331,2.2505300767120087,0.9926871891309368,2,0,1
2022,11,Normanhurst Eagles FC,North Epping Rangers FC,1504.0485620726568,1443.5140972139473,0.6718799748714548,0.17611660850610797,0.15200341662243722,2.4580730472195444,1.097668561598148,0,1,-1
2022,12,Ryde Saints United FC,Epping Eastwood FC,1442.0029771250934,1493.5376780595495,0.31613567743308957,0.22513707021565058,0.45872725235125983,1.5022924571299803,1.8443274329322628,0,0,0
2022,12,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1591.1339536238345,1493.352034532218,0.7991477836468364,0.13144026220374772,0.06941195414941581,2.710025731203144,0.6855062574484164,5,3,1
2022,12,Pennant Hills FC,West Ryde Rovers FC,1457.0387181068436,1566.8407538372896,0.17308058923297956,0.20706278037399634,0.6198566303930242,0.9788704740583363,2.0435356151524253,0,3,-1
2022,12,Normanhurst Eagles FC,Hills Hawks FC,1493.04948140812,1487.1431102992399,0.48207832741310913,0.2114983853871229,0.3064232871997679,2.066667512002822,1.6249549307009725,4,3,1
2022,12,North Epping Rangers FC,Macquarie Dragons FC,1454.513177878484,1521.3881151293274,0.29192134835315486,0.211401629737973,0.49667702190887214,1.5636707555874803,2.0764713866816287,0,0,0
2022,13,Epping Eastwood FC,Eastwood St Andrews FC,1493.4990572334248,1487.9939639163028,0.5161042241498219,0.22529662246772825,0.2585991533824498,1.8773687445686427,1.2707344781791234,0,2,-1
2022,13,Ryde Saints United FC,Pennant Hills FC,1442.0415979512181,1447.2682889874395,0.46332926406636277,0.2371804954991876,0.29949024043444966,1.701855789059799,1.3257620983130844,1,2,-1
2022,13,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,1500.2035543576292,1596.4920242397498,0.21016405358227624,0.1908523747566685,0.5989835716610553,1.3638523322964762,2.3747182985847006,3,1,1
2022,13,West Ryde Rovers FC,North Epping Rangers FC,1576.6111829566937,1454.9342782545261,0.8358059374384461,0.11522573727698622,0.04896832528456767,2.774878549694389,0.5436818270661091,3,1,1
2022,13,Macquarie Dragons FC,Hills Hawks FC,1520.9670147532852,1479.9890373497308,0.5883299836134315,0.19103992245614126,0.22063009393042723,2.39243725105812,1.4301706081559973,2,1,1
2022,15,West Ryde Rovers FC,West Pennant Hills Cherrybrook FC,1581.4140337888587,1585.8522300268203,0.4642375314520913,0.21259418362386467,0.32316828492404404,2.0329533373217483,1.678188951505136,2,0,1
2022,15,Epping Eastwood FC,Normanhurst Eagles FC,1482.6641134216475,1510.8433485705586,0.4180221166270007,0.23349033044801323,0.34848755292498607,1.6811976967546314,1.5182976986525785,1,0,1
2022,15,Pennant Hills FC,North Epping Rangers FC,1456.9235340664238,1450.1314274223612,0.508391305858898,0.23560357823382486,0.25600511590727715,1.7488960190648943,1.1742240236402228,3,1,1
2022,15,Macquarie Dragons FC,Eastwood St Andrews FC,1527.193511861722,1498.8289077280801,0.5730219636521466,0.2091379211685468,0.21784011517930651,2.084805461483866,1.2180935584831563,1,2,-1
2022,15,Ryde Saints United FC,Hills Hawks FC,1432.3863528722338,1473.762540241294,0.3480089368502123,0.2157577922405835,0.4362332709092043,1.7256628632564341,1.945867136841723,0,4,-1
2022,16,North Epping Rangers FC,Epping Eastwood FC,1442.2984734688696,1490.7767769951495,0.3401411251290933,0.23780205750443573,0.42205681736647105,1.450754807294875,1.6397575481231812,0,3,-1
2022,16,Normanhurst Eagles FC,Macquarie Dragons FC,1502.7306849970566,1516.90583179306,0.4517286990922689,0.22475802745921936,0.3235132734485117,1.8409947291093194,1.5325708179914495,1,3,-1
2022,16,Hills Hawks FC,Pennant Hills FC,1488.1326360808396,1464.7564880199154,0.5857511224379676,0.2049801147362047,0.2092687628258277,2.136160505231083,1.2087784379458073,1,3,-1
2022,16,Eastwood St Andrews FC,West Ryde Rovers FC,1509.1165877967421,1589.5872692298117,0.25928399874520774,0.2206390265418072,0.520076974712985,1.3168309536768765,1.941106783799678,1,0,1
2022,16,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,1577.6789945858673,1418.0162570326881,0.9028047386937891,0.07426034151151917,0.022934919794691856,3.2161597483944635,0.3992411048318316,5,1,1
2022,17,West Ryde Rovers FC,Normanhurst Eagles FC,1580.2146363099773,1492.3166628262052,0.7452899246245732,0.1560346439633105,0.0986754314121164,2.5136138623667756,0.8056836493456284,0,4,-1
2022,17,Pennant Hills FC,West Pennant Hills Cherrybrook FC,1475.958870258602,1583.5486241801166,0.18910254638417281,0.1976774339670958,0.6132200196487314,1.1550058006071655,2.212459951291712,1,3,-1
2022,17,Ryde Saints United FC,Eastwood St Andrews FC,1412.1466274384388,1518.4892207165765,0.19910548298278524,0.2030168379106953,0.5978776791065195,1.1672580164576323,2.1496960416908175,8,3,1
2022,17,Epping Eastwood FC,Macquarie Dragons FC,1502.95071703334,1527.3198539639116,0.4259007738792332,0.22909018289450206,0.34500904322626486,1.7473017883841733,1.5549934635003608,4,1,1
2022,17,North Epping Rangers FC,Hills Hawks FC,1430.124533430679,1476.930253842153,0.34597052602409817,0.21197870738852345,0.44205076658737835,1.7702773983872553,2.013513824765819,0,1,-1
2022,18,Hills Hawks FC,Epping Eastwood FC,1485.7466170235234,1514.0453751421044,0.41578048250298943,0.22110888829304598,0.3631106292039646,1.8323994046073036,1.7033271585647802,3,1,1
2022,18,Macquarie Dragons FC,West Ryde Rovers FC,1516.2251958551471,1562.0698286156723,0.3565063377309604,0.22107711942457783,0.4224165428444618,1.6840182127802126,1.8454597326242133,0,3,-1
2022,18,West Pennant Hills Cherrybrook FC,North Epping Rangers FC,1591.357660894464,1421.3081702493087,0.9075750849116159,0.07081502154732076,0.021609893541063307,3.2760195590202827,0.3964345482203061,6,1,1
2022,18,Normanhurst Eagles FC,Ryde Saints United FC,1510.4614705205101,1429.8462829526277,0.7226021579620191,0.15611197423432635,0.12128586780365457,2.6736792161107594,1.0280607983540344,4,0,1
