match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,9,Pennant Hills FC,Eastwood St Andrews FC,1428.13,1485.61,0.36836,0.18455,0.44709,2.341,2.566,0,0,0
,2022,10,West Ryde Rovers FC,Epping Eastwood FC,1602.45,1514.2,0.63301,0.15428,0.21271,3.287,1.991,2,1,1
,2022,10,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1502.44,1629.17,0.21914,0.15164,0.62923,2.119,3.409,1,3,-1
,2022,10,Ryde Saints United FC,Macquarie Dragons FC,1421.19,1509.64,0.30463,0.16944,0.52593,2.374,3.043,1,3,-1
,2022,10,North Epping Rangers FC,Eastwood St Andrews FC,1417.95,1484.91,0.32908,0.17777,0.49315,2.316,2.796,0,2,-1
,2022,10,Normanhurst Eagles FC,Pennant Hills FC,1489.23,1428.83,0.56166,0.17253,0.26581,2.904,2.04,1,1,0
,2022,11,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1506.1,1639.75,0.22837,0.1583,0.61334,2.049,3.226,1,3,-1
,2022,11,West Ryde Rovers FC,Ryde Saints United FC,1610.55,1408.92,0.80396,0.1035,0.09254,3.931,1.469,5,0,1
,2022,11,Eastwood St Andrews FC,Hills Hawks FC,1498.18,1491.86,0.48767,0.1758,0.33653,2.849,2.401,0,0,0
,2022,11,Macquarie Dragons FC,Pennant Hills FC,1521.91,1432.39,0.63229,0.15853,0.20918,3.136,1.864,2,0,1
,2022,11,Normanhurst Eagles FC,North Epping Rangers FC,1485.67,1404.68,0.62311,0.15709,0.21981,3.229,1.996,0,1,-1
,2022,12,Ryde Saints United FC,Epping Eastwood FC,1400.87,1496.39,0.28732,0.17095,0.54172,2.224,2.981,0,0,0
,2022,12,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1649.45,1496.55,0.74722,0.12503,0.12775,3.61,1.595,5,3,1
,2022,12,Pennant Hills FC,West Ryde Rovers FC,1424.04,1618.59,0.14039,0.13431,0.7253,1.58,3.42,0,3,-1
,2022,12,Normanhurst Eagles FC,Hills Hawks FC,1469.86,1493.48,0.43949,0.178,0.38251,2.72,2.552,4,3,1
,2022,12,North Epping Rangers FC,Macquarie Dragons FC,1420.5,1530.25,0.24873,0.1637,0.58757,2.102,3.125,0,0,0
