K_FACTOR_INITIAL,K_FACTOR_SETTLED,K_TRANSITION_GAMES,HOME_FIELD_ADVANTAGE,MOV_C1,MOV_C2,PRIOR_REGRESSION_FACTOR,RESET_PLAYED_PER_SEASON,ELO_TO_GOAL_RATIO,XG_ASYMMETRY_FACTOR,XG_BLEND_WEIGHT,MIN_XG,brier_F1,brier_F2,brier_F3,logloss_F1,logloss_F2,logloss_F3,accuracy_F1,accuracy_F2,accuracy_F3,n_F1,n_F2,n_F3,brier_mean,logloss_mean,accuracy_mean
30,30,15,30,0.002,2.0,0.4,False,50,0.75,0.65,0.3,0.5763156404958728,0.5997592942957778,0.4829304119242786,0.9806606314983606,1.003888631794274,0.8345367304864524,0.5319148936170213,0.5483870967741935,0.6276595744680851,94,93,94,0.5413448531100282,0.9192126811403631,0.5880233356211393
30,35,15,30,0.002,2.0,0.3,False,50,0.65,0.5,0.1,0.5772839777304274,0.606809931138609,0.47664930159273416,0.9925480067008317,1.0160026747446644,0.8251401786816409,0.5319148936170213,0.5376344086021505,0.6063829787234043,94,93,94,0.5417296163656716,0.9205714267131526,0.5720086936627774
50,30,15,30,0.0005,2.0,0.4,False,50,0.5,0.35,0.1,0.5739618699669906,0.6010287818388864,0.48269227964617634,0.9825140271116498,1.0065602486252365,0.8346199324509526,0.5212765957446809,0.5376344086021505,0.6170212765957447,94,93,94,0.5418605307425314,0.9205900905380946,0.5773278425989476
40,35,8,30,0.002,2.0,0.3,False,125,1.0,0.2,0.2,0.5726021591141341,0.6024027300579214,0.4821211260109137,0.9776874771639931,1.0082281610849835,0.8328670997587808,0.5425531914893617,0.5268817204301075,0.5957446808510638,94,93,94,0.5422619280344176,0.9205476304218821,0.5613132006405857
60,35,10,30,0.001,2.0,0.4,False,100,0.85,0.2,0.3,0.5750833730735265,0.6025626860968899,0.48212386438484245,0.9874511327580892,1.0089848310974059,0.8343616382519803,0.5425531914893617,0.5268817204301075,0.6170212765957447,94,93,94,0.5423432752408661,0.9216732346746931,0.5719514985129261
30,35,5,40,0.002,2.0,0.4,False,50,1.0,0.8,0.2,0.575761461412442,0.5989860355088882,0.48649599626600476,0.9784424327674203,1.0031162432295744,0.8392893224835162,0.5425531914893617,0.5483870967741935,0.6276595744680851,94,93,94,0.5427410158874465,0.9212027828565452,0.5880233356211393
40,35,15,40,0.0005,2.0,0.3,False,75,0.85,0.65,0.3,0.573435569155723,0.5998565007027871,0.48653992686306574,0.9746098669477697,1.0044239154792067,0.8396829590775955,0.5319148936170213,0.5591397849462365,0.6276595744680851,94,93,94,0.5431982137829264,0.9220534372784011,0.5933996797071608
60,35,8,30,0.001,2.0,0.3,False,50,0.75,0.65,0.2,0.5800945503179944,0.6071333277984936,0.47976841774095896,0.9968749550587902,1.0154494653319308,0.8309005675488876,0.5425531914893617,0.5268817204301075,0.6170212765957447,94,93,94,0.5434508727697263,0.9231750164404092,0.5719514985129261
50,35,15,30,0.002,2.0,0.3,False,50,0.85,0.65,0.2,0.5808944837671527,0.6093493899165078,0.47794795282882735,1.0008300176868519,1.0201270807469016,0.8283019519157995,0.5319148936170213,0.5376344086021505,0.6170212765957447,94,93,94,0.5436486713726676,0.9242145163313505,0.5773278425989476
50,35,8,40,0.002,2.0,0.3,False,75,0.85,0.5,0.2,0.572821512954553,0.6041928543304328,0.48315605770788755,0.9805514129749698,1.0128722660619847,0.8345412928541112,0.5319148936170213,0.5376344086021505,0.6276595744680851,94,93,94,0.5436744560191602,0.9237067794580479,0.5826469915351178
